applicant_id,label
APP100000,1
APP100001,0
APP100002,1
APP100003,1
APP100004,0
APP100005,1
APP100006,0
APP100007,0
APP100008,1
APP100009,0
APP100010,1
APP100011,1
APP100012,0
APP100013,0
APP100014,0
APP100015,0
APP100016,1
APP100017,1
APP100018,0
APP100019,1
APP100020,0
APP100021,0
APP100022,1
APP100023,1
APP100025,1
APP100026,0
APP100027,1
APP100028,0
APP100029,1
APP100032,0
APP100033,1
APP100034,0
APP100035,1
APP100036,1
APP100037,0
APP100038,1
APP100039,0
APP100040,1
APP100041,1
APP100042,0
APP100043,1
APP100044,1
APP100045,1
APP100046,1
APP100047,0
APP100048,0
APP100049,1
APP100050,1
APP100051,1
APP100052,0
APP100053,0
APP100054,0
APP100056,1
APP100057,1
APP100058,1
APP100059,1
APP100060,1
APP100061,0
APP100062,1
APP100063,1
APP100064,1
APP100065,1
APP100066,0
APP100067,1
APP100068,1
APP100069,1
APP100070,1
APP100071,0
APP100072,1
APP100073,1
APP100074,1
APP100075,0
APP100076,1
APP100077,0
APP100078,1
APP100079,0
APP100080,1
APP100081,0
APP100082,1
APP100083,1
APP100084,1
APP100085,1
APP100087,0
APP100088,1
APP100089,1
APP100090,0
APP100091,1
APP100092,0
APP100094,1
APP100095,1
APP100096,1
APP100097,1
APP100098,1
APP100099,1
APP100100,1
APP100101,1
APP100102,1
APP100103,0
APP100104,1
APP100105,1
APP100106,1
APP100107,0
APP100108,1
APP100109,1
APP100111,0
APP100112,1
APP100114,1
APP100115,1
APP100116,1
APP100117,1
APP100118,0
APP100119,0
